league,season,game,date,home_team,away_team,game_id,url,stage
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,2022-08-05 20:00:00,Crystal Palace,Arsenal,1640674,https://www.whoscored.com/Matches/1640674/Live/England-Premier-League-2022-2023-Crystal-Palace-Arsenal,
ENG-Premier League,2223,2022-08-06 Bournemouth-Aston Villa,2022-08-06 15:00:00,Bournemouth,Aston Villa,1640676,https://www.whoscored.com/Matches/1640676/Live/England-Premier-League-2022-2023-Bournemouth-Aston-Villa,
ENG-Premier League,2223,2022-08-06 Everton-Chelsea,2022-08-06 17:30:00,Everton,Chelsea,1640681,https://www.whoscored.com/Matches/1640681/Live/England-Premier-League-2022-2023-Everton-Chelsea,
ENG-Premier League,2223,2022-08-06 Fulham-Liverpool,2022-08-06 12:30:00,Fulham,Liverpool,1640675,https://www.whoscored.com/Matches/1640675/Live/England-Premier-League-2022-2023-Fulham-Liverpool,
ENG-Premier League,2223,2022-08-06 Leeds-Wolves,2022-08-06 15:00:00,Leeds,Wolves,1640677,https://www.whoscored.com/Matches/1640677/Live/England-Premier-League-2022-2023-Leeds-Wolves,
ENG-Premier League,2223,2022-08-06 Newcastle-Nottingham Forest,2022-08-06 15:00:00,Newcastle,Nottingham Forest,1640679,https://www.whoscored.com/Matches/1640679/Live/England-Premier-League-2022-2023-Newcastle-Nottingham-Forest,
ENG-Premier League,2223,2022-08-06 Tottenham-Southampton,2022-08-06 15:00:00,Tottenham,Southampton,1640680,https://www.whoscored.com/Matches/1640680/Live/England-Premier-League-2022-2023-Tottenham-Southampton,
ENG-Premier League,2223,2022-08-07 Leicester-Brentford,2022-08-07 14:00:00,Leicester,Brentford,1640678,https://www.whoscored.com/Matches/1640678/Live/England-Premier-League-2022-2023-Leicester-Brentford,
ENG-Premier League,2223,2022-08-07 Manchester United-Brighton,2022-08-07 14:00:00,Manchester United,Brighton,1640682,https://www.whoscored.com/Matches/1640682/Live/England-Premier-League-2022-2023-Manchester-United-Brighton,
ENG-Premier League,2223,2022-08-07 West Ham-Manchester City,2022-08-07 16:30:00,West Ham,Manchester City,1640683,https://www.whoscored.com/Matches/1640683/Live/England-Premier-League-2022-2023-West-Ham-Manchester-City,
ENG-Premier League,2223,2022-08-13 Arsenal-Leicester,2022-08-13 15:00:00,Arsenal,Leicester,1640684,https://www.whoscored.com/Matches/1640684/Live/England-Premier-League-2022-2023-Arsenal-Leicester,
ENG-Premier League,2223,2022-08-13 Aston Villa-Everton,2022-08-13 12:30:00,Aston Villa,Everton,1640685,https://www.whoscored.com/Matches/1640685/Live/England-Premier-League-2022-2023-Aston-Villa-Everton,
ENG-Premier League,2223,2022-08-13 Brentford-Manchester United,2022-08-13 17:30:00,Brentford,Manchester United,1640686,https://www.whoscored.com/Matches/1640686/Live/England-Premier-League-2022-2023-Brentford-Manchester-United,
ENG-Premier League,2223,2022-08-13 Brighton-Newcastle,2022-08-13 15:00:00,Brighton,Newcastle,1640687,https://www.whoscored.com/Matches/1640687/Live/England-Premier-League-2022-2023-Brighton-Newcastle,
ENG-Premier League,2223,2022-08-13 Manchester City-Bournemouth,2022-08-13 15:00:00,Manchester City,Bournemouth,1640690,https://www.whoscored.com/Matches/1640690/Live/England-Premier-League-2022-2023-Manchester-City-Bournemouth,
ENG-Premier League,2223,2022-08-13 Southampton-Leeds,2022-08-13 15:00:00,Southampton,Leeds,1640692,https://www.whoscored.com/Matches/1640692/Live/England-Premier-League-2022-2023-Southampton-Leeds,
ENG-Premier League,2223,2022-08-13 Wolves-Fulham,2022-08-13 15:00:00,Wolves,Fulham,1640693,https://www.whoscored.com/Matches/1640693/Live/England-Premier-League-2022-2023-Wolves-Fulham,
ENG-Premier League,2223,2022-08-14 Chelsea-Tottenham,2022-08-14 16:30:00,Chelsea,Tottenham,1640688,https://www.whoscored.com/Matches/1640688/Live/England-Premier-League-2022-2023-Chelsea-Tottenham,
ENG-Premier League,2223,2022-08-14 Nottingham Forest-West Ham,2022-08-14 14:00:00,Nottingham Forest,West Ham,1640691,https://www.whoscored.com/Matches/1640691/Live/England-Premier-League-2022-2023-Nottingham-Forest-West-Ham,
ENG-Premier League,2223,2022-08-15 Liverpool-Crystal Palace,2022-08-15 20:00:00,Liverpool,Crystal Palace,1640689,https://www.whoscored.com/Matches/1640689/Live/England-Premier-League-2022-2023-Liverpool-Crystal-Palace,
ENG-Premier League,2223,2022-08-20 Bournemouth-Arsenal,2022-08-20 17:30:00,Bournemouth,Arsenal,1640694,https://www.whoscored.com/Matches/1640694/Live/England-Premier-League-2022-2023-Bournemouth-Arsenal,
ENG-Premier League,2223,2022-08-20 Crystal Palace-Aston Villa,2022-08-20 15:00:00,Crystal Palace,Aston Villa,1640695,https://www.whoscored.com/Matches/1640695/Live/England-Premier-League-2022-2023-Crystal-Palace-Aston-Villa,
ENG-Premier League,2223,2022-08-20 Everton-Nottingham Forest,2022-08-20 15:00:00,Everton,Nottingham Forest,1640696,https://www.whoscored.com/Matches/1640696/Live/England-Premier-League-2022-2023-Everton-Nottingham-Forest,
ENG-Premier League,2223,2022-08-20 Fulham-Brentford,2022-08-20 15:00:00,Fulham,Brentford,1640697,https://www.whoscored.com/Matches/1640697/Live/England-Premier-League-2022-2023-Fulham-Brentford,
ENG-Premier League,2223,2022-08-20 Leicester-Southampton,2022-08-20 15:00:00,Leicester,Southampton,1640699,https://www.whoscored.com/Matches/1640699/Live/England-Premier-League-2022-2023-Leicester-Southampton,
ENG-Premier League,2223,2022-08-20 Tottenham-Wolves,2022-08-20 12:30:00,Tottenham,Wolves,1640702,https://www.whoscored.com/Matches/1640702/Live/England-Premier-League-2022-2023-Tottenham-Wolves,
ENG-Premier League,2223,2022-08-21 Leeds-Chelsea,2022-08-21 14:00:00,Leeds,Chelsea,1640698,https://www.whoscored.com/Matches/1640698/Live/England-Premier-League-2022-2023-Leeds-Chelsea,
ENG-Premier League,2223,2022-08-21 Newcastle-Manchester City,2022-08-21 16:30:00,Newcastle,Manchester City,1640701,https://www.whoscored.com/Matches/1640701/Live/England-Premier-League-2022-2023-Newcastle-Manchester-City,
ENG-Premier League,2223,2022-08-21 West Ham-Brighton,2022-08-21 14:00:00,West Ham,Brighton,1640703,https://www.whoscored.com/Matches/1640703/Live/England-Premier-League-2022-2023-West-Ham-Brighton,
ENG-Premier League,2223,2022-08-22 Manchester United-Liverpool,2022-08-22 20:00:00,Manchester United,Liverpool,1640700,https://www.whoscored.com/Matches/1640700/Live/England-Premier-League-2022-2023-Manchester-United-Liverpool,
ENG-Premier League,2223,2022-08-27 Arsenal-Fulham,2022-08-27 17:30:00,Arsenal,Fulham,1640704,https://www.whoscored.com/Matches/1640704/Live/England-Premier-League-2022-2023-Arsenal-Fulham,
ENG-Premier League,2223,2022-08-27 Brentford-Everton,2022-08-27 15:00:00,Brentford,Everton,1640706,https://www.whoscored.com/Matches/1640706/Live/England-Premier-League-2022-2023-Brentford-Everton,
ENG-Premier League,2223,2022-08-27 Brighton-Leeds,2022-08-27 15:00:00,Brighton,Leeds,1640707,https://www.whoscored.com/Matches/1640707/Live/England-Premier-League-2022-2023-Brighton-Leeds,
ENG-Premier League,2223,2022-08-27 Chelsea-Leicester,2022-08-27 15:00:00,Chelsea,Leicester,1640708,https://www.whoscored.com/Matches/1640708/Live/England-Premier-League-2022-2023-Chelsea-Leicester,
ENG-Premier League,2223,2022-08-27 Liverpool-Bournemouth,2022-08-27 15:00:00,Liverpool,Bournemouth,1640709,https://www.whoscored.com/Matches/1640709/Live/England-Premier-League-2022-2023-Liverpool-Bournemouth,
ENG-Premier League,2223,2022-08-27 Manchester City-Crystal Palace,2022-08-27 15:00:00,Manchester City,Crystal Palace,1640710,https://www.whoscored.com/Matches/1640710/Live/England-Premier-League-2022-2023-Manchester-City-Crystal-Palace,
ENG-Premier League,2223,2022-08-27 Southampton-Manchester United,2022-08-27 12:30:00,Southampton,Manchester United,1640712,https://www.whoscored.com/Matches/1640712/Live/England-Premier-League-2022-2023-Southampton-Manchester-United,
ENG-Premier League,2223,2022-08-28 Aston Villa-West Ham,2022-08-28 14:00:00,Aston Villa,West Ham,1640705,https://www.whoscored.com/Matches/1640705/Live/England-Premier-League-2022-2023-Aston-Villa-West-Ham,
ENG-Premier League,2223,2022-08-28 Nottingham Forest-Tottenham,2022-08-28 16:30:00,Nottingham Forest,Tottenham,1640711,https://www.whoscored.com/Matches/1640711/Live/England-Premier-League-2022-2023-Nottingham-Forest-Tottenham,
ENG-Premier League,2223,2022-08-28 Wolves-Newcastle,2022-08-28 14:00:00,Wolves,Newcastle,1640713,https://www.whoscored.com/Matches/1640713/Live/England-Premier-League-2022-2023-Wolves-Newcastle,
ENG-Premier League,2223,2022-08-30 Crystal Palace-Brentford,2022-08-30 19:30:00,Crystal Palace,Brentford,1640720,https://www.whoscored.com/Matches/1640720/Live/England-Premier-League-2022-2023-Crystal-Palace-Brentford,
ENG-Premier League,2223,2022-08-30 Fulham-Brighton,2022-08-30 19:30:00,Fulham,Brighton,1640716,https://www.whoscored.com/Matches/1640716/Live/England-Premier-League-2022-2023-Fulham-Brighton,
ENG-Premier League,2223,2022-08-30 Leeds-Everton,2022-08-30 20:00:00,Leeds,Everton,1640717,https://www.whoscored.com/Matches/1640717/Live/England-Premier-League-2022-2023-Leeds-Everton,
ENG-Premier League,2223,2022-08-30 Southampton-Chelsea,2022-08-30 19:45:00,Southampton,Chelsea,1640721,https://www.whoscored.com/Matches/1640721/Live/England-Premier-League-2022-2023-Southampton-Chelsea,
ENG-Premier League,2223,2022-08-31 Arsenal-Aston Villa,2022-08-31 19:30:00,Arsenal,Aston Villa,1640714,https://www.whoscored.com/Matches/1640714/Live/England-Premier-League-2022-2023-Arsenal-Aston-Villa,
