,home_team,away_team,game_id,h,a
0,Leicester,Everton,1641031,14,31
1,Arsenal,Chelsea,1641025,13,15
2,Liverpool,Fulham,1640925,26,170
3,Manchester City,West Ham,1640927,167,29
4,Brighton,Manchester United,1640921,211,32
5,Bournemouth,Chelsea,1641035,183,15
6,Manchester City,Leeds,1641039,167,19
7,Tottenham,Crystal Palace,1641042,30,162
8,Wolves,Aston Villa,1641044,161,24
9,Liverpool,Brentford,1641038,26,189
10,Newcastle,Arsenal,1641040,23,13
11,West Ham,Manchester United,1641043,29,32
12,Fulham,Leicester,1641037,170,14
13,Brighton,Everton,1641036,211,31
14,Nottingham Forest,Southampton,1641041,174,18
15,Leeds,Newcastle,1641051,19,23
16,Chelsea,Nottingham Forest,1641048,15,174
17,Crystal Palace,Bournemouth,1641049,162,183
18,Manchester United,Wolves,1641053,32,161
19,Aston Villa,Tottenham,1641046,24,30
20,Southampton,Fulham,1640984,18,170
21,Brentford,West Ham,1641047,189,29
22,Everton,Manchester City,1641050,31,167
23,Arsenal,Brighton,1641045,13,211
24,Leicester,Liverpool,1641052,14,26
25,Newcastle,Brighton,1640970,23,211
26,Tottenham,Brentford,1640997,30,189
27,Wolves,Everton,1641001,161,31
28,Bournemouth,Manchester United,1640985,183,32
29,Fulham,Crystal Palace,1640987,170,162
30,Liverpool,Aston Villa,1640989,26,24
31,Nottingham Forest,Arsenal,1640995,174,13
32,West Ham,Leeds,1640999,29,19
33,Brighton,Southampton,1640986,211,18
34,Manchester City,Chelsea,1640991,167,15
35,Newcastle,Leicester,1640993,23,14
36,Brighton,Manchester City,1640994,211,167
37,Manchester United,Chelsea,1641004,32,15
38,Aston Villa,Brighton,1641005,24,211
39,Brentford,Manchester City,1641007,189,167
40,Chelsea,Newcastle,1641009,15,23
41,Crystal Palace,Nottingham Forest,1641011,162,174
42,Everton,Bournemouth,1641013,31,183
43,Leeds,Tottenham,1641015,19,30
44,Leicester,West Ham,1641017,14,29
45,Manchester United,Fulham,1641019,32,170
46,Southampton,Liverpool,1641021,18,26
47,Arsenal,Wolves,1641003,13,161
48,Leicester,Everton,1641031,14,31
49,Arsenal,Chelsea,1641025,13,15
50,Liverpool,Fulham,1640925,26,170
51,Manchester City,West Ham,1640927,167,29
52,Brighton,Manchester United,1640921,211,32
53,Bournemouth,Chelsea,1641035,183,15
54,Manchester City,Leeds,1641039,167,19
55,Tottenham,Crystal Palace,1641042,30,162
56,Wolves,Aston Villa,1641044,161,24
57,Liverpool,Brentford,1641038,26,189
58,Newcastle,Arsenal,1641040,23,13
59,West Ham,Manchester United,1641043,29,32
60,Fulham,Leicester,1641037,170,14
61,Brighton,Everton,1641036,211,31
62,Nottingham Forest,Southampton,1641041,174,18
63,Leeds,Newcastle,1641051,19,23
64,Chelsea,Nottingham Forest,1641048,15,174
65,Crystal Palace,Bournemouth,1641049,162,183
66,Manchester United,Wolves,1641053,32,161
67,Aston Villa,Tottenham,1641046,24,30
68,Southampton,Fulham,1640984,18,170
69,Brentford,West Ham,1641047,189,29
70,Everton,Manchester City,1641050,31,167
71,Arsenal,Brighton,1641045,13,211
72,Leicester,Liverpool,1641052,14,26
73,Newcastle,Brighton,1640970,23,211
74,Tottenham,Brentford,1640997,30,189
75,Wolves,Everton,1641001,161,31
76,Bournemouth,Manchester United,1640985,183,32
77,Fulham,Crystal Palace,1640987,170,162
78,Liverpool,Aston Villa,1640989,26,24
79,Nottingham Forest,Arsenal,1640995,174,13
80,West Ham,Leeds,1640999,29,19
81,Brighton,Southampton,1640986,211,18
82,Manchester City,Chelsea,1640991,167,15
83,Newcastle,Leicester,1640993,23,14
84,Brighton,Manchester City,1640994,211,167
85,Manchester United,Chelsea,1641004,32,15
86,Aston Villa,Brighton,1641005,24,211
87,Brentford,Manchester City,1641007,189,167
88,Chelsea,Newcastle,1641009,15,23
89,Crystal Palace,Nottingham Forest,1641011,162,174
90,Everton,Bournemouth,1641013,31,183
91,Leeds,Tottenham,1641015,19,30
92,Leicester,West Ham,1641017,14,29
93,Manchester United,Fulham,1641019,32,170
94,Southampton,Liverpool,1641021,18,26
95,Arsenal,Wolves,1641003,13,161
96,Manchester City,Liverpool,1640947,167,26
97,Crystal Palace,Leicester,1640943,162,14
98,Nottingham Forest,Wolves,1640951,174,161
99,Arsenal,Leeds,1640935,13,19
100,Bournemouth,Fulham,1640937,183,170
101,Brighton,Brentford,1640939,211,189
102,Chelsea,Aston Villa,1640941,15,24
103,West Ham,Southampton,1640953,29,18
104,Newcastle,Manchester United,1640949,23,32
105,Everton,Tottenham,1640945,31,30
106,Bournemouth,Brighton,1640735,183,211
107,Leeds,Nottingham Forest,1640738,19,174
108,Leicester,Aston Villa,1640739,14,24
109,Chelsea,Liverpool,1640747,15,26
110,Manchester United,Brentford,1640968,32,189
111,West Ham,Newcastle,1640743,29,23
112,Manchester United,Everton,1640967,32,31
