league,season,game,date,home_team,away_team,B365H,B365D,B365A,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA
ENG-Premier League,2223,2022-08-05 Crystal Palace-Arsenal,2022-08-05 20:00:00,Crystal Palace,Arsenal,4.2,3.6,1.85,4.4,3.5,1.83,4.6,3.78,1.95,4.39,3.59,1.88,0.21616122279660535,0.2664246669958256,0.5174141102071224
ENG-Premier League,2223,2022-08-06 Bournemouth-Aston Villa,2022-08-06 15:00:00,Bournemouth,Aston Villa,3.75,3.5,2.0,3.75,3.3,2.05,4.0,3.66,2.1,3.8,3.5,2.04,0.250938214679031,0.273271166749258,0.47579061857216687
ENG-Premier League,2223,2022-08-06 Everton-Chelsea,2022-08-06 17:30:00,Everton,Chelsea,5.5,4.0,1.61,5.8,3.75,1.62,6.1,4.2,1.67,5.74,3.96,1.63,0.16253841959421272,0.24001221932329966,0.5974493610820367
ENG-Premier League,2223,2022-08-06 Fulham-Liverpool,2022-08-06 12:30:00,Fulham,Liverpool,11.0,6.0,1.25,12.0,5.5,1.27,13.0,6.4,1.31,10.99,6.05,1.28,0.08092754950372419,0.15434234155347773,0.7647301089432005
ENG-Premier League,2223,2022-08-06 Leeds United-Wolves,2022-08-06 15:00:00,Leeds United,Wolves,2.25,3.4,3.2,2.25,3.3,3.2,2.42,3.54,3.3,2.34,3.34,3.18,0.4127960657866399,0.28614761650542003,0.30105631770746805
ENG-Premier League,2223,2022-08-06 Newcastle Utd-Nott'ham Forest,2022-08-06 15:00:00,Newcastle Utd,Nott'ham Forest,1.66,3.8,5.25,1.67,3.7,5.25,1.72,3.96,6.0,1.67,3.8,5.57,0.5824082641835069,0.2501507741843928,0.1674409616325657
ENG-Premier League,2223,2022-08-06 Tottenham-Southampton,2022-08-06 15:00:00,Tottenham,Southampton,1.33,5.5,8.5,1.35,5.0,8.5,1.4,5.5,9.2,1.36,5.27,8.64,0.7178172330101948,0.1776527385391691,0.10453002845025057
ENG-Premier League,2223,2022-08-07 Leicester City-Brentford,2022-08-07 14:00:00,Leicester City,Brentford,2.0,3.75,3.5,2.0,3.6,3.5,2.1,3.84,3.8,2.03,3.66,3.64,0.4776372730343839,0.26043847374079093,0.2619242532253001
ENG-Premier League,2223,2022-08-07 Manchester Utd-Brighton,2022-08-07 14:00:00,Manchester Utd,Brighton,1.6,4.2,5.25,1.6,3.9,5.5,1.66,4.22,6.12,1.62,4.01,5.68,0.6002206229662115,0.23613283189055806,0.16364654514365068
ENG-Premier League,2223,2022-08-07 West Ham-Manchester City,2022-08-07 16:30:00,West Ham,Manchester City,8.0,5.0,1.36,9.0,5.0,1.33,9.6,5.6,1.41,8.32,5.25,1.37,0.10898199801563305,0.17843239744935083,0.7125856045346218
ENG-Premier League,2223,2022-08-13 Arsenal-Leicester City,2022-08-13 15:00:00,Arsenal,Leicester City,1.53,4.33,5.75,1.53,4.2,5.8,1.6,4.65,6.42,1.55,4.37,6.04,0.6290778052982033,0.21675906872268175,0.1541631259795534
ENG-Premier League,2223,2022-08-13 Aston Villa-Everton,2022-08-13 12:30:00,Aston Villa,Everton,1.8,3.5,4.75,1.8,3.4,4.75,1.85,3.68,5.12,1.82,3.56,4.87,0.5357596754869495,0.26955311168053364,0.19468721283296753
ENG-Premier League,2223,2022-08-13 Brentford-Manchester Utd,2022-08-13 17:30:00,Brentford,Manchester Utd,3.75,3.5,2.0,3.8,3.5,1.95,4.04,3.65,2.08,3.77,3.56,2.02,0.25234968589422296,0.2678328563857682,0.4798174577204572
ENG-Premier League,2223,2022-08-13 Brighton-Newcastle Utd,2022-08-13 15:00:00,Brighton,Newcastle Utd,2.45,3.2,3.0,2.38,3.25,3.0,2.54,3.46,3.27,2.44,3.25,3.1,0.3958416999305011,0.29470955001766086,0.30944875005137756
ENG-Premier League,2223,2022-08-13 Manchester City-Bournemouth,2022-08-13 15:00:00,Manchester City,Bournemouth,1.06,13.0,29.0,1.05,13.0,34.0,1.09,16.0,50.0,1.07,12.72,37.57,0.9155539660365282,0.0672224830975087,0.01722355086576222
ENG-Premier League,2223,2022-08-13 Southampton-Leeds United,2022-08-13 15:00:00,Southampton,Leeds United,2.25,3.5,3.1,2.25,3.4,3.1,2.4,3.64,3.2,2.32,3.51,3.1,0.4173896891225334,0.2726468656222432,0.3099634452556784
ENG-Premier League,2223,2022-08-13 Wolves-Fulham,2022-08-13 15:00:00,Wolves,Fulham,2.3,3.3,3.2,2.35,3.25,3.1,2.48,3.46,3.29,2.4,3.28,3.15,0.40298821174474775,0.29227611540782106,0.3047356728469525
ENG-Premier League,2223,2022-08-14 Chelsea-Tottenham,2022-08-14 16:30:00,Chelsea,Tottenham,2.25,3.4,3.2,2.25,3.3,3.2,2.38,3.55,3.36,2.29,3.44,3.21,0.42284591157725504,0.27826429121280766,0.2988897972094757
ENG-Premier League,2223,2022-08-14 Nott'ham Forest-West Ham,2022-08-14 14:00:00,Nott'ham Forest,West Ham,4.2,3.6,1.85,4.2,3.5,1.85,4.4,3.75,1.94,4.21,3.64,1.9,0.22571045775423373,0.26253900843699873,0.51175053380921
ENG-Premier League,2223,2022-08-15 Liverpool-Crystal Palace,2022-08-15 20:00:00,Liverpool,Crystal Palace,1.18,6.75,16.0,1.18,6.5,17.0,1.23,7.23,19.0,1.2,6.85,16.33,0.8149723618505459,0.13422444346369758,0.05080319468541748
ENG-Premier League,2223,2022-08-20 Bournemouth-Arsenal,2022-08-20 17:30:00,Bournemouth,Arsenal,8.0,4.75,1.4,8.0,4.5,1.4,8.01,4.9,1.47,7.65,4.7,1.43,0.11879831685587433,0.19984849801244117,0.6813531851312883
ENG-Premier League,2223,2022-08-20 Crystal Palace-Aston Villa,2022-08-20 15:00:00,Crystal Palace,Aston Villa,2.5,3.25,2.9,2.5,3.2,2.9,2.6,3.35,3.16,2.52,3.2,3.0,0.3820872833274119,0.2986504089646478,0.31926230770746844
ENG-Premier League,2223,2022-08-20 Everton-Nott'ham Forest,2022-08-20 15:00:00,Everton,Nott'ham Forest,1.9,3.6,4.0,1.91,3.5,4.0,2.02,3.64,4.3,1.97,3.48,4.05,0.49200293218545704,0.27400403107368826,0.23399303674130076
ENG-Premier League,2223,2022-08-20 Fulham-Brentford,2022-08-20 15:00:00,Fulham,Brentford,2.45,3.4,2.9,2.4,3.4,2.88,2.62,3.54,3.04,2.46,3.42,2.92,0.39210841662115414,0.2791702677856078,0.32872131559369816
ENG-Premier League,2223,2022-08-20 Leicester City-Southampton,2022-08-20 15:00:00,Leicester City,Southampton,1.83,4.0,4.0,1.85,3.75,3.9,1.88,4.1,4.2,1.85,3.97,4.01,0.5246223903594607,0.2389316015682436,0.2364460080727396
ENG-Premier League,2223,2022-08-20 Tottenham-Wolves,2022-08-20 12:30:00,Tottenham,Wolves,1.4,4.75,7.5,1.38,4.6,8.5,1.44,5.14,8.5,1.41,4.88,7.96,0.6924283300640576,0.19298152640712624,0.11459014352840119
ENG-Premier League,2223,2022-08-21 Leeds United-Chelsea,2022-08-21 14:00:00,Leeds United,Chelsea,5.75,4.5,1.53,5.25,4.33,1.57,6.23,4.6,1.6,5.93,4.43,1.55,0.15720918372943876,0.2137011820784733,0.6290896341925128
ENG-Premier League,2223,2022-08-21 Newcastle Utd-Manchester City,2022-08-21 16:30:00,Newcastle Utd,Manchester City,7.5,5.0,1.36,9.0,4.8,1.35,9.5,5.35,1.41,8.67,5.11,1.37,0.10409099456931692,0.183479992863861,0.7124290125672121
ENG-Premier League,2223,2022-08-21 West Ham-Brighton,2022-08-21 14:00:00,West Ham,Brighton,2.3,3.4,3.1,2.25,3.4,3.1,2.42,3.52,3.29,2.32,3.41,3.14,0.41590200834179186,0.2795760130879573,0.3045219785698006
ENG-Premier League,2223,2022-08-22 Manchester Utd-Liverpool,2022-08-22 20:00:00,Manchester Utd,Liverpool,5.25,4.33,1.6,5.25,4.33,1.57,5.6,4.7,1.65,5.22,4.38,1.6,0.17834986309109616,0.21464856960658438,0.6070015673027609
