,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Manchester City,2,38,38,3420,38,26,0.68,85,59,70.6,29,6,3,21,55.3,1,1,0,0,0.0,25.8,0.29,-0.2,-0.01,96,704,237,33.7,18.53,6.24,0.13,0.38,16.3,17,7,9,88.7,81.4,0.12,7.3,7.6,24406,27902,87.5,412596,117964,11713,12605,92.9,10158,11162,91.0,1972,2895,68.1,63,65.5,57.1,-2.5,536,2110,535,74,2421,27902,26239,1597,406,102,192,869,664,316,154,50,4,24406,66,355,1286,33.84,997,78,70,88,42,11,158,4.16,112,10,6,19,8,3,498,284,183,214,101,227,509,44.6,282,267,55,212,279,777,403,7,67.9,31381,1837,6566,15281,9729,1499,31372,741,425,57.4,316,42.6,21064,110018,61200,1145,840,386,497,316,24212,2402,42,1,0,321,330,284,7,1,0,1967,482,397,54.8,26,38,26,236,84,35.6,6.21,2.21,0.11,0.3,17.2,9,1,1,24.6,23.9,0.1,1.4,1.1,9984,13251,75.3,181301,71712,4365,5046,86.5,4222,4971,84.9,1104,2399,46.0,23,19.0,17.4,4.0,182,590,151,35,757,13251,11640,1517,376,50,89,397,493,108,52,37,3,9984,94,252,31.5,17313,3457,8404,6269,2844,464,17312,509,282,55.4,227,44.6,9091,46446,22113,392,286,119,510,271,9919,749,0.429718875502008
Newcastle Utd,3,38,38,3420,38,62,1.63,165,104,65.5,13,10,15,8,21.1,6,5,1,0,16.7,52.3,0.29,-7.7,-0.2,41,446,142,31.8,11.74,3.74,0.09,0.27,18.1,15,3,3,38.1,35.9,0.08,2.9,2.1,10201,14036,72.7,188373,77685,4545,5432,83.7,3917,4880,80.3,1343,2746,48.9,23,25.8,23.3,-2.8,308,791,193,55,923,14036,12203,1762,415,31,114,592,743,160,90,46,14,10201,71,281,758,19.95,504,81,61,57,44,11,70,1.84,46,4,5,9,6,0,659,383,334,266,59,304,641,47.4,337,420,162,258,360,1019,776,14,40.4,18281,2310,6731,7483,4314,727,18278,632,359,56.8,273,43.2,9243,50896,23964,544,397,163,622,359,10113,911,81,2,1,392,366,383,1,6,2,1835,677,619,52.2,29,38,60,524,159,30.3,13.79,4.18,0.1,0.35,17.6,23,5,6,57.1,52.6,0.1,2.9,2.4,17236,21214,81.2,291031,95996,8392,9334,89.9,6907,8022,86.1,1472,2768,53.2,43,42.7,36.0,0.3,398,1419,330,60,1725,21214,19431,1725,433,72,125,685,764,190,94,72,4,17236,58,292,60.1,25217,2219,6731,12257,6462,909,25211,641,337,52.6,304,47.4,14551,76683,41845,774,592,193,562,355,17121,1709,0.4188163884673748
Crystal Palace,2,38,38,3420,38,46,1.21,144,99,70.1,11,15,12,12,31.6,4,3,1,0,25.0,38.5,0.24,-5.5,-0.14,50,404,140,34.7,10.63,3.68,0.11,0.31,16.1,13,6,8,46.4,40.1,0.1,3.6,3.9,14983,19081,78.5,265538,92523,6553,7495,87.4,6521,7610,85.7,1467,2871,51.1,31,31.0,30.2,0.0,305,990,270,75,1229,19081,17115,1903,528,40,120,643,844,175,88,44,8,14983,63,316,711,18.71,500,63,43,46,43,16,81,2.13,53,3,7,8,9,1,637,374,323,236,78,273,575,47.5,302,452,135,317,333,970,761,5,51.1,23466,2753,8764,9989,4943,749,23458,687,382,55.6,305,44.4,13129,65928,33176,592,410,149,671,471,14878,1214,69,1,1,414,481,374,6,4,2,2103,610,618,49.7,24,38,44,439,140,31.9,11.55,3.68,0.09,0.29,17.9,20,3,4,40.7,37.6,0.09,3.3,3.4,14264,18471,77.2,250760,90242,6523,7559,86.3,5776,6884,83.9,1503,2862,52.5,30,28.3,29.8,1.7,304,1193,287,74,1402,18471,16628,1790,453,42,130,664,825,184,74,96,0,14264,53,360,49.1,22794,2209,7021,10187,5794,794,22790,575,302,52.5,273,47.5,12186,62876,31764,563,428,135,652,364,14161,1394,0.41287284144427
West Ham,2,38,38,3420,38,51,1.34,165,113,70.3,16,8,14,8,21.1,6,2,3,1,60.0,48.0,0.27,-1.0,-0.03,58,443,142,32.1,11.66,3.74,0.12,0.38,16.6,13,4,6,51.4,46.8,0.11,6.6,7.2,14326,18378,78.0,251152,89191,6627,7493,88.4,5789,6856,84.4,1479,2906,50.9,46,37.4,32.4,8.6,320,1106,271,87,1449,18378,16647,1672,309,29,146,802,770,200,135,43,1,14326,59,353,770,20.26,569,68,47,50,28,8,102,2.68,72,10,5,9,5,1,534,301,273,199,62,240,557,43.1,317,420,175,245,374,908,781,5,47.9,22331,2444,7012,9992,5543,810,22325,545,306,56.1,239,43.9,12622,68100,32664,646,479,171,520,294,14229,1437,52,3,2,323,276,301,3,6,2,1970,639,628,50.4,25,38,49,542,160,29.5,14.26,4.21,0.09,0.29,17.5,15,2,6,53.5,48.8,0.09,-4.5,-1.8,16243,20172,80.5,274834,94799,7672,8611,89.1,6637,7768,85.4,1391,2684,51.8,38,39.9,36.6,-1.9,415,1252,344,78,1536,20172,18525,1612,361,50,92,758,651,200,114,65,2,16243,35,280,52.2,24232,2449,7533,10770,6167,960,24226,557,317,56.9,240,43.1,14273,78362,42157,845,621,217,572,294,16104,1522,0.4363295880149812
Liverpool,2,38,38,3420,38,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,0,,26.6,0.26,1.6,0.04,94,721,237,32.9,18.97,6.24,0.12,0.37,16.7,13,7,8,88.7,82.7,0.12,5.3,4.3,21163,25552,82.8,370621,127087,9420,10506,89.7,9245,10569,87.5,2000,3211,62.3,71,63.5,56.2,7.5,527,1878,511,92,2243,25552,23742,1747,436,112,167,897,780,282,47,207,0,21163,63,374,1249,32.87,912,105,63,104,49,16,163,4.29,121,9,9,19,5,0,554,320,207,240,107,233,576,40.5,343,359,74,285,340,894,523,8,62.7,29575,2130,7195,14176,8419,1377,29567,635,343,54.0,291,45.8,17262,84190,45325,885,672,290,590,366,21042,2227,50,1,0,363,286,320,5,0,1,2265,571,467,55.0,27,38,25,297,107,36.0,7.82,2.82,0.08,0.23,17.2,14,0,0,33.8,33.8,0.12,-8.8,-8.8,11072,15214,72.8,197409,78984,5182,6086,85.1,4238,5248,80.8,1287,2809,45.8,18,27.5,24.0,-9.5,227,750,199,51,912,15214,13387,1683,403,89,105,460,678,117,70,37,0,11072,144,323,36.7,19789,3363,8838,7652,3510,540,19789,577,343,59.4,233,40.4,10261,50690,24148,469,309,139,655,321,10987,898,0.4223826714801444
Southampton,3,38,38,3420,38,67,1.76,183,118,64.5,9,13,16,8,21.1,2,2,0,0,0.0,57.2,0.31,-7.8,-0.21,41,478,161,33.7,12.58,4.24,0.08,0.23,17.7,24,4,4,44.8,41.6,0.09,-3.8,-4.6,12505,16941,73.8,211003,80089,6089,7173,84.9,4893,6093,80.3,1112,2591,42.9,26,32.5,28.7,-6.5,353,1016,249,58,1326,16941,15115,1784,411,43,81,711,750,233,106,105,4,12505,42,343,814,21.42,585,68,43,51,49,18,71,1.87,44,5,6,4,9,3,602,340,285,243,74,248,581,42.7,333,430,132,298,446,1048,795,13,47.7,21418,2216,6541,9409,5713,830,21414,624,350,56.1,274,43.9,11085,62327,31425,728,561,197,626,366,12388,1314,65,2,1,402,363,340,4,2,2,2224,672,726,48.1,25,38,65,493,181,36.7,12.97,4.76,0.13,0.35,16.2,11,2,2,60.0,58.5,0.12,5.0,4.5,14361,18812,76.3,252156,96214,6549,7740,84.6,5804,7009,82.8,1499,2833,52.9,47,45.7,34.4,1.3,365,1185,338,82,1497,18812,16984,1763,422,41,109,721,817,197,114,48,4,14361,65,349,52.1,23224,2471,7680,9846,5890,898,23222,581,333,57.3,248,42.7,12115,63337,31846,647,461,187,659,354,14247,1483,0.4352159468438538
Leicester City,2,38,38,3420,38,59,1.55,192,132,72.9,14,10,14,7,18.4,9,7,2,0,22.2,56.9,0.26,-1.1,-0.03,62,433,164,37.9,11.39,4.32,0.14,0.37,17.8,14,2,2,47.8,46.2,0.11,14.2,13.8,16129,20137,80.1,269547,94214,7751,8789,88.2,6573,7579,86.7,1329,2581,51.5,46,34.2,26.9,11.8,312,1025,254,57,1356,20137,18268,1809,457,65,105,556,769,185,113,42,2,16129,60,379,745,19.61,566,41,48,42,33,15,105,2.76,81,3,4,8,5,4,690,384,336,270,84,306,720,42.5,414,469,146,323,367,1057,777,15,52.0,24409,2771,8575,11067,4962,746,24407,547,297,54.3,250,45.7,13897,68708,34763,622,467,157,601,368,16036,1351,55,1,0,356,396,384,1,9,1,2015,530,553,48.9,28,38,58,556,183,32.9,14.63,4.82,0.09,0.28,16.4,15,7,9,59.3,52.6,0.1,-1.3,-1.6,14828,18823,78.8,262901,92485,6675,7635,87.4,6259,7300,85.7,1512,2798,54.0,36,39.8,38.1,-3.8,415,1210,342,77,1496,18823,17017,1733,391,63,150,738,788,218,129,63,2,14828,73,382,47.9,23094,2218,7065,10268,6018,1025,23085,720,414,57.5,306,42.5,13115,70989,36278,732,510,208,598,384,14699,1481,0.4434782608695652
Brighton,2,38,38,3419,38,44,1.16,146,102,71.9,12,15,11,11,28.9,4,3,0,1,0.0,42.5,0.28,-1.5,-0.04,40,482,141,29.3,12.68,3.71,0.07,0.26,17.7,15,4,7,46.2,40.7,0.09,-6.2,-4.7,16410,20588,79.7,288827,95307,7195,8172,88.0,7130,8208,86.9,1579,2953,53.5,30,32.3,31.5,-2.3,356,1187,342,72,1547,20588,18838,1697,390,58,152,728,784,200,84,96,0,16410,53,397,870,22.89,630,84,49,55,40,12,72,1.89,49,8,4,6,4,1,668,403,306,257,105,243,563,43.2,320,480,150,330,358,1026,723,12,54.4,24854,2629,8034,10520,6505,876,24847,559,317,56.7,242,43.3,13919,68537,35095,676,519,139,598,349,16278,1529,72,2,0,393,355,403,4,4,0,2154,569,498,53.3,26,38,44,472,143,30.3,12.42,3.76,0.09,0.29,18.6,21,3,4,42.9,39.8,0.09,1.1,1.2,13304,17380,76.5,231327,84959,6148,7119,86.4,5425,6514,83.3,1321,2648,49.9,34,30.0,25.7,4.0,342,996,255,58,1263,17380,15605,1733,417,36,113,680,740,211,106,55,6,13304,42,374,45.3,21578,2394,7672,8761,5358,830,21574,564,320,56.7,243,43.1,11610,61934,31945,642,446,197,581,425,13173,1250,0.3967065868263473
Brentford,3,38,38,3420,38,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0.0,49.4,0.25,-4.6,-0.12,46,436,141,32.3,11.47,3.71,0.09,0.28,16.3,11,6,6,45.8,41.1,0.1,0.2,-1.1,11676,16272,71.8,211867,85983,5201,6312,82.4,4797,6120,78.4,1357,2852,47.6,33,33.0,33.8,0.0,311,942,262,81,1189,16272,14443,1763,432,50,70,640,778,159,84,47,9,11676,66,333,739,19.45,487,96,37,62,43,14,78,2.05,46,11,4,8,9,0,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7,44.8,20462,2793,7862,8201,4566,819,20456,476,262,55.0,214,45.0,10280,49925,26085,450,332,102,563,291,11565,1170,65,3,2,371,363,342,6,5,2,2061,717,728,49.6,29,38,54,498,174,34.9,13.11,4.58,0.1,0.28,18.2,22,5,5,48.5,44.6,0.09,5.5,4.4,15770,20238,77.9,263462,90458,7861,8970,87.6,5946,7075,84.0,1434,2945,48.7,41,34.7,32.3,6.3,359,1331,339,101,1523,20238,18429,1738,405,73,104,812,774,229,128,69,2,15770,71,329,55.5,24462,2251,6892,11000,6765,838,24457,616,325,52.8,291,47.2,13970,69503,34218,734,609,164,618,316,15638,1517,0.4365733113673805
Manchester Utd,1,38,38,3420,38,57,1.5,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,55.1,0.29,1.1,0.03,56,503,179,35.6,13.24,4.71,0.11,0.3,17.7,19,3,5,55.8,51.9,0.11,0.2,1.1,16690,20641,80.9,280259,93084,8162,9234,88.4,6398,7436,86.0,1548,2626,58.9,46,42.5,37.1,3.5,407,1315,312,65,1568,20641,18862,1691,376,80,187,659,725,197,74,88,0,16690,88,369,917,24.13,706,65,56,38,39,13,104,2.74,77,6,6,7,5,3,585,358,320,197,68,265,608,43.6,343,404,133,271,340,925,704,20,52.7,24652,2256,7391,11141,6331,883,24647,631,368,58.3,263,41.7,13954,76394,41495,784,587,213,538,333,16590,1562,77,2,1,396,320,358,3,5,3,2071,555,443,55.6,29,38,54,506,175,34.6,13.32,4.61,0.1,0.29,17.7,14,3,5,53.0,49.4,0.1,1.0,1.6,15051,18933,79.5,256170,90545,7180,8073,88.9,6013,7001,85.9,1373,2712,50.6,41,39.0,33.8,2.0,367,1088,303,61,1404,18933,17152,1709,462,61,139,648,668,207,105,67,3,15051,72,310,47.1,23079,2490,7246,10393,5671,814,23074,608,343,56.4,265,43.6,13079,67807,33613,672,482,173,547,320,14963,1396,0.388034188034188
