game,date,home_team,away_team,FTHG,FTAG,H,D,A,PSH,PSD,PSA,pPSH,pPSD,pPSA
2019-08-09 Liverpool-Norwich City,2019-08-09 20:00:00,Liverpool,Norwich City,4,1,1,0,0,1.15,9.59,18.05,0.8560281263452579,0.09613247609014702,0.047839397564255697
2019-08-10 Bournemouth-Sheffield Utd,2019-08-10 15:00:00,Bournemouth,Sheffield Utd,1,1,0,1,0,2.04,3.57,3.9,0.480312512452637,0.27161462651813756,0.24807286102875534
2019-08-10 Burnley-Southampton,2019-08-10 15:00:00,Burnley,Southampton,3,0,1,0,0,2.71,3.31,2.81,0.35982800590432434,0.29338807145808193,0.34678392263710894
2019-08-10 Crystal Palace-Everton,2019-08-10 15:00:00,Crystal Palace,Everton,0,0,0,1,0,3.21,3.37,2.39,0.3028379736183916,0.288146112581857,0.40901591380023294
2019-08-10 Tottenham-Aston Villa,2019-08-10 17:30:00,Tottenham,Aston Villa,3,1,1,0,0,1.3,5.84,10.96,0.7553433850236012,0.16194050631542448,0.0827161086605724
2019-08-10 Watford-Brighton,2019-08-10 15:00:00,Watford,Brighton,0,3,0,0,1,1.98,3.44,4.37,0.49586188860814084,0.2828088804128926,0.22132923097849494
2019-08-10 West Ham-Manchester City,2019-08-10 12:30:00,West Ham,Manchester City,0,5,0,0,1,11.68,6.53,1.26,0.07695218165695848,0.14378135080440083,0.7792664675382641
2019-08-11 Leicester City-Wolves,2019-08-11 14:00:00,Leicester City,Wolves,0,0,0,1,0,2.21,3.34,3.66,0.4434284344877199,0.2912917758817837,0.26527978963097737
2019-08-11 Manchester Utd-Chelsea,2019-08-11 16:30:00,Manchester Utd,Chelsea,4,0,1,0,0,2.21,3.37,3.63,0.44357444924402295,0.2887737217129366,0.2676518290435154
2019-08-11 Newcastle Utd-Arsenal,2019-08-11 14:00:00,Newcastle Utd,Arsenal,0,1,0,0,1,4.58,3.93,1.81,0.21068897837800948,0.24656799556074835,0.5427430260617202
2019-08-17 Arsenal-Burnley,2019-08-17 12:30:00,Arsenal,Burnley,2,1,1,0,0,1.34,5.68,9.35,0.7336022107191035,0.16745963647664017,0.09893815280470342
2019-08-17 Aston Villa-Bournemouth,2019-08-17 15:00:00,Aston Villa,Bournemouth,1,2,0,0,1,2.32,3.56,3.17,0.42130356180892314,0.2721875679898678,0.3065088702016761
