game,date,home_team,away_team,FTHG,FTAG,H,D,A,WHH,WHD,WHA,pWHH,pWHD,pWHA
2019-08-09 Liverpool-Norwich City,2019-08-09 20:00:00,Liverpool,Norwich City,4,1,1,0,0,1.12,8.5,21.0,0.865838343527554,0.1008499286139312,0.03331172785833744
2019-08-10 Bournemouth-Sheffield Utd,2019-08-10 15:00:00,Bournemouth,Sheffield Utd,1,1,0,1,0,2.0,3.5,3.8,0.4819084628225991,0.2701835351417229,0.2479080020352094
2019-08-10 Burnley-Southampton,2019-08-10 15:00:00,Burnley,Southampton,3,0,1,0,0,2.7,3.2,2.75,0.35462020551415757,0.2974165943498837,0.34796320013640725
2019-08-10 Crystal Palace-Everton,2019-08-10 15:00:00,Crystal Palace,Everton,0,0,0,1,0,3.1,3.3,2.35,0.30588002264972103,0.2865798905207582,0.4075400868290507
2019-08-10 Tottenham-Aston Villa,2019-08-10 17:30:00,Tottenham,Aston Villa,3,1,1,0,0,1.29,5.5,10.0,0.7503272009159933,0.16496675572206906,0.08470604336228295
2019-08-10 Watford-Brighton,2019-08-10 15:00:00,Watford,Brighton,0,3,0,0,1,1.95,3.4,4.2,0.4959912887794982,0.27969314802572354,0.2243155631943238
2019-08-10 West Ham-Manchester City,2019-08-10 12:30:00,West Ham,Manchester City,0,5,0,0,1,13.0,6.0,1.24,0.06384558030591078,0.15196307108454918,0.7841913486091535
2019-08-11 Leicester City-Wolves,2019-08-11 14:00:00,Leicester City,Wolves,0,0,0,1,0,2.2,3.25,3.5,0.43732227566853316,0.2921951706820794,0.27048255364891405
2019-08-11 Manchester Utd-Chelsea,2019-08-11 16:30:00,Manchester Utd,Chelsea,4,0,1,0,0,2.15,3.3,3.5,0.4456609908185311,0.285709743072382,0.26862926610863597
2019-08-11 Newcastle Utd-Arsenal,2019-08-11 14:00:00,Newcastle Utd,Arsenal,0,1,0,0,1,4.5,3.75,1.78,0.20693076991275197,0.2507882521373209,0.5422809779503726
2019-08-17 Arsenal-Burnley,2019-08-17 12:30:00,Arsenal,Burnley,2,1,1,0,0,1.32,5.25,10.0,0.7367643525985831,0.17617147221643004,0.0870641751846216
2019-08-17 Aston Villa-Bournemouth,2019-08-17 15:00:00,Aston Villa,Bournemouth,1,2,0,0,1,2.25,3.5,3.1,0.42565422526157626,0.268984016915884,0.3053617578230077
2019-08-17 Brighton-West Ham,2019-08-17 15:00:00,Brighton,West Ham,1,1,0,1,0,2.5,3.3,2.88,0.38263122267541555,0.28686497813770395,0.33050379918642137
2019-08-17 Everton-Watford,2019-08-17 15:00:00,Everton,Watford,1,0,1,0,0,1.73,3.8,4.8,0.5587628114786136,0.2476747324225176,0.1935624560984136
2019-08-17 Manchester City-Tottenham,2019-08-17 17:30:00,Manchester City,Tottenham,2,2,0,1,0,1.35,5.25,8.5,0.7197893709653054,0.17598008382832822,0.10423054520673118
2019-08-17 Norwich City-Newcastle Utd,2019-08-17 15:00:00,Norwich City,Newcastle Utd,3,1,1,0,0,2.15,3.4,3.4,0.4458426253741012,0.277078687313172,0.277078687313172
2019-08-17 Southampton-Liverpool,2019-08-17 15:00:00,Southampton,Liverpool,1,2,0,0,1,7.0,4.6,1.44,0.1274965683647291,0.20085607778927003,0.6716473538463782
2019-08-18 Chelsea-Leicester City,2019-08-18 16:30:00,Chelsea,Leicester City,1,1,0,1,0,1.7,3.7,5.25,0.5690484031655011,0.25485710590731464,0.17609449092672952
