,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc
Liverpool,0.95,0.95,0.95,1.0,0.9,0.9,0.15,0.15,0.95,0.8,0.9,0.2,0.2,0.15,0.9,0.1,0.95
Manchester Utd,0.55,0.6,0.9,0.8,0.85,0.75,0.55,0.3,0.65,1.0,0.7,0.45,0.55,0.2,0.75,0.25,0.55
Burnley,0.25,0.1,0.3,0.35,0.3,0.1,1.0,0.95,0.4,0.1,0.1,0.6,0.05,0.5,0.5,0.95,0.5
Watford,0.6,0.3,0.5,0.65,0.55,0.3,0.8,0.5,0.5,0.5,0.4,0.65,0.35,0.35,0.1,0.85,0.3
Newcastle Utd,0.35,0.55,0.15,0.55,0.1,0.15,0.85,0.9,0.15,0.6,0.15,0.05,0.5,1.0,0.15,0.55,0.15
Wolves,0.3,0.85,0.6,0.2,0.45,0.55,0.4,0.4,0.3,0.3,0.25,0.3,1.0,0.75,0.4,0.9,0.9
Bournemouth,0.05,0.4,0.7,0.5,0.15,0.45,0.2,0.8,0.2,0.95,0.85,0.75,0.85,0.45,0.6,0.45,0.1
West Ham,0.9,0.15,0.425,0.75,0.8,0.5,0.5,0.55,0.45,0.25,0.5,0.8,0.8,0.7,0.3,1.0,0.85
Brighton,0.5,0.35,0.1,0.4,0.05,0.2,0.75,0.85,0.05,0.05,0.2,0.5,0.1,0.9,0.8,0.65,0.35
Everton,0.7,0.75,0.55,0.7,0.65,0.6,0.6,0.75,0.9,0.75,0.35,0.85,0.25,0.65,0.7,0.5,0.65
Manchester City,0.8,1.0,1.0,0.85,1.0,1.0,0.05,0.05,1.0,0.65,0.95,0.35,0.95,0.3,0.35,0.05,0.75
Arsenal,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8
Tottenham,1.0,0.7,0.75,0.95,0.7,0.85,0.35,0.2,0.85,0.85,0.8,0.1,0.65,0.1,0.95,0.2,0.7
Chelsea,0.65,0.9,0.8,0.6,0.95,0.95,0.1,0.1,0.8,0.55,1.0,0.15,0.75,0.25,0.85,0.15,1.0
Crystal Palace,0.4,0.65,0.425,0.45,0.25,0.35,0.45,0.65,0.25,0.4,0.6,0.9,0.9,0.6,1.0,0.35,0.45
Southampton,0.15,0.45,0.35,0.3,0.75,0.25,0.65,0.6,0.55,0.45,0.45,0.95,0.3,0.8,0.45,0.6,0.25
Leicester City,0.2,0.8,0.65,0.25,0.6,0.65,0.3,0.45,0.7,0.9,0.55,0.7,0.7,0.95,0.55,0.4,0.6
Sheffield Utd,1.0,0.6,0.2,0.25,0.85,0.4,0.95,0.6,0.2,0.05,0.15,1.0,0.05,1.0,0.45,0.1,0.8
Norwich City,0.2,0.1,0.15,0.1,0.05,0.6,0.3,0.5,0.4,0.55,0.8,0.05,0.9,0.05,0.3,0.7,0.05
Aston Villa,0.1,0.05,0.25,0.55,0.3,0.15,0.5,1.0,0.1,0.7,0.2,0.9,0.7,0.8,0.15,0.8,0.25
