,0,1
0,105603,Sam Johnstone
1,108638,Will Hughes
2,125209,Mohamed Elneny
3,141246,Jairo Riedewald
4,231135,Joachim Andersen
5,238940,Thomas Partey
6,239872,Nicolas Pépé
7,247454,Martin Ødegaard
8,273257,Oleksandr Zinchenko
9,279379,Gabriel Jesus
10,288795,Rob Holding
11,297403,Kieran Tierney
12,316858,Aaron Ramsdale
13,317504,Odsonne Édouard
14,319712,Matt Turner
15,322036,Ben White
16,328096,Jean-Philippe Mateta
17,332403,Eberechi Eze
18,334087,Gabriel Magalhães
19,33866,Vicente Guaita
20,342564,Reiss Nelson
21,345845,Eddie Nketiah
22,349102,Albert Sambi Lokonga
23,361822,William Saliba
24,367185,Bukayo Saka
25,374631,Marc Guéhi
26,374993,Cheick Doucouré
27,380706,Gabriel Martinelli
28,389579,Tyrick Mitchell
29,395401,Chris Richards
30,429310,Luke Plange
31,43105,Joel Ward
32,431867,Malcolm Ebiowei
33,67491,Jordan Ayew
34,69375,Nathaniel Clyne
35,69945,Cédric Soares
36,70493,Luka Milivojevic
37,85059,Wilfried Zaha
38,89401,Granit Xhaka
39,91822,Jeffrey Schlupp
40,108226,Mohamed Salah
41,114147,Alisson Becker
42,115230,Kevin Mbabu
43,115279,Aleksandar Mitrovic
44,115726,Andy Robertson
45,115916,Fabinho
46,134332,Bobby De Cordova-Reid
47,135724,Harrison Reed
48,136451,Joe Gomez
49,136464,Tosin Adarabioyo
50,145996,Kenny Tete
51,243254,Andreas Pereira
52,256125,Marek Rodák
53,306581,Antonee Robinson
54,318871,Trent Alexander-Arnold
55,322774,João Palhinha
56,345022,Manor Solomon
57,351705,Sepp van den Berg
58,363982,Harvey Elliott
59,377168,Luis Díaz
60,382367,Tyrese Francois
61,390214,Jay Stansfield
62,400828,Darwin Núñez
63,401385,Fábio Carvalho
64,403649,Rodrigo Muniz
65,444538,Luke Harris
66,444539,Luke Chambers
67,444540,Stefan Bajcetic
68,4511,James Milner
69,68659,Jordan Henderson
70,73399,Adrián
71,74341,Joël Matip
72,74939,Thiago Alcântara
73,75692,Shane Duffy
74,79583,Tom Cairney
75,85006,Tim Ream
76,92173,Bernd Leno
77,94933,Neeskens Kebano
