,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
0,Arsenal,Aston Villa,2022-08-31,19:30:00,Matchweek 5,Wed,Away,L,1,2,0,0,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.44999999999999996,-0.09999999999999998,-0.45000000000000007,0.4,-0.39999999999999997,-0.30000000000000004,0.30000000000000004,0.45,-0.04999999999999993,-0.25,-0.1499999999999999,-0.04999999999999993,0.44999999999999996,0.44999999999999996,-0.35,0.14999999999999997,0.04999999999999999
1,Arsenal,Aston Villa,2023-02-18,12:30:00,Matchweek 24,Sat,Home,L,2,4,0,1,0.4,0.6,0.35,0.8,0.45,0.35,0.55,0.75,0.55,0.6,0.55,0.65,0.7,0.6,0.65,0.35,0.15,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.44999999999999996,-0.09999999999999998,-0.45000000000000007,0.4,-0.39999999999999997,-0.30000000000000004,0.30000000000000004,0.45,-0.04999999999999993,-0.25,-0.1499999999999999,-0.04999999999999993,0.44999999999999996,0.44999999999999996,-0.35,0.14999999999999997,0.04999999999999999
2,Arsenal,Bournemouth,2022-08-20,17:30:00,Matchweek 3,Sat,Home,L,0,3,0,1,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.5,-0.49999999999999994,-0.65,0.17499999999999993,-0.75,-0.5,0.25,0.6000000000000001,-0.5499999999999999,-0.35,-0.39999999999999997,-0.6499999999999999,0.6,0.75,-0.95,0.49999999999999994,0.04999999999999999
3,Arsenal,Bournemouth,2023-03-04,15:00:00,Matchweek 26,Sat,Away,L,2,3,0,0,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.5,-0.49999999999999994,-0.65,0.17499999999999993,-0.75,-0.5,0.25,0.6000000000000001,-0.5499999999999999,-0.35,-0.39999999999999997,-0.6499999999999999,0.6,0.75,-0.95,0.49999999999999994,0.04999999999999999
4,Arsenal,Brentford,2022-09-18,12:00:00,Matchweek 8,Sun,Home,L,0,3,0,1,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.39999999999999997,-0.04999999999999993,-0.30000000000000004,0.07499999999999996,-0.75,-0.35000000000000003,0.7,0.39999999999999997,-0.09999999999999998,-0.09999999999999998,-0.44999999999999996,-0.09999999999999998,-0.2,0.1,-0.09999999999999998,0.3,0.45000000000000007
5,Arsenal,Brentford,2023-02-11,15:00:00,Matchweek 23,Sat,Away,D,1,1,0,0,0.45,0.65,0.5,0.475,0.1,0.3,0.95,0.7,0.5,0.75,0.25,0.6,0.05,0.25,0.9,0.5,0.55,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.39999999999999997,-0.04999999999999993,-0.30000000000000004,0.07499999999999996,-0.75,-0.35000000000000003,0.7,0.39999999999999997,-0.09999999999999998,-0.09999999999999998,-0.44999999999999996,-0.09999999999999998,-0.2,0.1,-0.09999999999999998,0.3,0.45000000000000007
6,Arsenal,Brighton,2022-12-31,17:30:00,Matchweek 18,Sat,Home,L,2,4,0,1,0.8,0.75,0.55,0.2,0.6,0.85,0.75,0.25,0.8,0.25,0.6,0.45,0.2,0.2,0.4,0.15,0.7,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.04999999999999993,0.050000000000000044,-0.25,-0.2,-0.25,0.19999999999999996,0.5,-0.04999999999999999,0.20000000000000007,-0.6,-0.09999999999999998,-0.24999999999999994,-0.04999999999999999,0.05000000000000002,-0.6,-0.05000000000000002,0.6
8,Arsenal,Chelsea,2022-11-06,12:00:00,Matchweek 15,Sun,Home,L,0,1,0,1,0.65,0.95,0.9,0.95,0.9,0.9,0.2,0.1,0.9,0.8,0.95,0.35,0.4,0.1,0.7,0.6,0.95,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.19999999999999996,0.25,0.09999999999999998,0.5499999999999999,0.050000000000000044,0.25,-0.04999999999999999,-0.19999999999999998,0.30000000000000004,-0.04999999999999993,0.25,-0.35,0.15000000000000002,-0.04999999999999999,-0.30000000000000004,0.39999999999999997,0.85
9,Arsenal,Chelsea,2023-05-02,20:00:00,Matchweek 34,Tue,Away,L,1,3,0,0,0.65,0.95,0.9,0.95,0.9,0.9,0.2,0.1,0.9,0.8,0.95,0.35,0.4,0.1,0.7,0.6,0.95,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.19999999999999996,0.25,0.09999999999999998,0.5499999999999999,0.050000000000000044,0.25,-0.04999999999999999,-0.19999999999999998,0.30000000000000004,-0.04999999999999993,0.25,-0.35,0.15000000000000002,-0.04999999999999999,-0.30000000000000004,0.39999999999999997,0.85
10,Arsenal,Crystal Palace,2022-08-05,20:00:00,Matchweek 1,Fri,Home,L,0,2,0,1,0.35,0.8,0.6,0.7,0.15,0.6,0.7,0.6,0.7,0.55,0.5,0.05,0.6,0.55,0.95,0.7,0.75,0.85,0.7,0.8,0.4,0.85,0.65,0.25,0.3,0.6,0.85,0.7,0.7,0.25,0.15,1.0,0.2,0.1,-0.5,0.10000000000000009,-0.20000000000000007,0.29999999999999993,-0.7,-0.050000000000000044,0.44999999999999996,0.3,0.09999999999999998,-0.29999999999999993,-0.19999999999999996,-0.6499999999999999,0.35,0.4,-0.050000000000000044,0.49999999999999994,0.65
